word,embedding
बड़े,"[-3.0435689e-03 -3.1321342e-03  4.3515917e-03  4.6058344e-03
 -3.2778310e-03  2.4065941e-03 -3.8432050e-03 -8.7392959e-04
 -2.9374112e-03 -2.2441226e-03  1.6737388e-03 -3.6901976e-03
 -2.0716966e-03 -2.0396868e-04  3.4380369e-03  2.9256763e-03
  3.6391907e-04  3.6149332e-03 -1.0754430e-03 -3.1968399e-03
 -3.7135645e-03 -8.8610005e-04 -6.9894991e-04  2.0564576e-03
  3.9873561e-03 -9.7650959e-04  1.5287608e-03  7.1645342e-04
  4.4317800e-03 -6.4400834e-04  2.9538011e-03 -4.0722829e-03
 -3.4731498e-03 -3.7725400e-03  3.7991485e-05  2.6832172e-03
 -1.2171443e-03 -1.6888502e-03 -6.1260047e-04  1.1938690e-03
  1.4669007e-03 -2.1823086e-03  1.5806541e-03 -2.7460163e-03
  1.9736853e-03 -2.6854353e-03  3.7641716e-04 -4.3056658e-03
  1.0680294e-03  2.8420128e-03 -2.3213373e-03 -1.8535524e-03
  2.9799880e-03  8.5321843e-04  4.3806597e-03  4.3245717e-03
  5.0122603e-03 -1.8337922e-03  3.9621247e-03 -2.0090423e-03
 -3.1810309e-04 -2.7294511e-03 -3.9569298e-03  4.4745211e-03
 -2.6548957e-03  1.3945177e-03 -2.4853001e-04 -2.8928157e-03
 -4.3026763e-03 -2.8686575e-03 -9.8102691e-04  3.8725629e-03
 -3.8088253e-03  3.2579047e-03  7.4037741e-04  1.7789336e-03
  1.2319557e-04 -2.9081984e-03  3.0838286e-03 -2.2941935e-03
  4.2926315e-03 -5.0893147e-04 -6.9978653e-04 -9.0541114e-04
 -2.5583696e-04  1.0344511e-03  4.5508007e-03  4.3390528e-03
 -3.4193725e-03 -4.0154094e-03 -1.6149977e-03  4.2382828e-03
  4.3045850e-03  8.2588621e-04  4.7799079e-03  3.7393067e-03
  8.5465866e-04  4.3340512e-03 -3.3762143e-03  4.2424966e-03]"
अनाम,"[-1.0411852e-03  4.1993307e-03 -1.3389003e-03  4.2300993e-03
 -1.9028435e-04 -2.0801402e-03  1.1566331e-03  3.2711916e-03
  4.3936935e-03  2.1068819e-03  9.5374952e-04  3.4802486e-03
  3.7904093e-03 -4.4586672e-04 -4.5948769e-03 -4.0359644e-04
  4.8343930e-03  2.0400384e-03 -3.3693076e-03 -5.0364986e-05
  5.3663255e-04 -4.8050811e-03  3.1595456e-03 -2.8400011e-03
 -3.5946828e-04  7.5789588e-04 -4.2648432e-03 -2.8324578e-04
 -3.1175844e-03 -1.2435487e-03  9.1536052e-04  2.6325101e-03
 -1.4869323e-03  4.2581805e-03 -4.1130963e-03 -1.5123375e-03
 -4.4116415e-03 -2.8346517e-04  2.2873960e-03 -9.2385866e-04
 -4.6487544e-03  1.4696169e-03  3.1443266e-03 -2.6325955e-05
  2.9595501e-03  3.9966102e-03 -1.5614650e-03 -4.6023889e-03
  2.8062703e-03 -3.2484694e-03 -4.2295950e-03  1.8590626e-03
 -3.8565539e-03  1.5570098e-03 -2.3238405e-03  8.3231548e-04
  3.1821565e-03 -1.4498731e-03  3.9070865e-04  3.7503468e-03
 -3.6090899e-03  4.8239022e-03 -7.9232716e-04  2.2039178e-03
  4.8315800e-03  4.6656220e-03  4.1682264e-03 -2.9203605e-03
  1.4403660e-05 -5.0524627e-03 -1.5020735e-03 -4.0520327e-03
  1.9228915e-03 -5.0167837e-03 -2.7560107e-03  3.4738269e-03
 -3.1319091e-03 -4.2858403e-03  1.9732197e-03  5.0923455e-04
  4.9064786e-04 -4.8441328e-03 -3.7168912e-03 -3.7139428e-03
  5.0041717e-03 -8.5278205e-04  1.8569737e-03  2.1720761e-03
 -3.7008284e-03  3.4750777e-03  3.6661120e-05 -1.0512508e-03
 -2.0238359e-03  4.6855290e-03 -3.3616165e-03  4.2768107e-03
  1.7212899e-04 -6.5644592e-04 -3.8739350e-03  1.5653224e-03]"
द्वीपों,"[ 3.7470736e-04  3.6170578e-03  7.9577079e-04 -9.0870581e-04
 -1.2714872e-03 -2.4509584e-03  1.3249628e-05 -2.9986047e-03
  1.3328033e-03 -4.5882412e-03 -4.5594922e-03 -1.0341323e-03
  3.8362097e-03 -1.4509960e-03 -2.5461912e-03  1.5413226e-03
  2.3817348e-03 -2.2904349e-03  7.5883331e-04 -6.6595683e-05
  3.8674308e-03  4.5717927e-03  4.6292040e-03 -4.6002530e-03
 -1.4226161e-03 -4.6441443e-03  1.9090489e-03 -3.6827796e-03
  4.6004127e-03  1.1488928e-03 -4.9945451e-03 -4.1818530e-03
  6.4633077e-04  2.2612829e-03  3.9017131e-03  3.4390695e-03
  1.9072846e-03  1.3045768e-03  5.7670364e-05 -1.0262540e-03
 -1.6985771e-03  4.5196214e-03  3.5053215e-04 -1.1567851e-03
  3.5081138e-03  1.7554611e-03 -4.2665279e-03 -4.0661269e-03
 -3.6420402e-05  1.6338136e-03  4.6785171e-03 -4.0266151e-03
 -8.4784144e-04 -1.6821458e-03  4.2679999e-03  1.1942190e-03
  1.4313506e-03 -3.5107539e-03 -4.9140975e-03 -2.4493630e-03
 -1.8507792e-05 -2.3914648e-03 -3.5426740e-03 -4.2912927e-03
 -2.1009380e-03  4.7999313e-03 -4.6921405e-03  3.3813037e-03
  1.4677575e-03  1.7735387e-03  2.0182175e-03  4.1562482e-03
 -3.5536708e-03  6.1025255e-04 -2.0335219e-03  7.2401226e-04
  3.3204923e-03  2.5567196e-03  1.6693253e-03  3.3556172e-03
 -4.5678148e-04  3.2503528e-03  3.5384500e-03  3.8467890e-03
  1.1054339e-03 -4.7996119e-03  3.8636569e-03 -4.4624666e-03
  3.5703725e-03 -1.0966440e-03  5.6610710e-04 -3.4368455e-03
  4.4663860e-03  2.1206085e-03 -3.8525893e-03  7.4177276e-04
  1.8115278e-03 -7.6788606e-04 -2.7898634e-03  3.3655094e-03]"
का,"[ 5.4271277e-03 -1.3070115e-03  8.0266624e-04  3.3809585e-03
  2.9247699e-03 -3.8185380e-03  2.8745679e-03  2.7067016e-03
 -4.0227994e-03  6.5809018e-03 -1.3033191e-03  4.1600410e-03
  3.8818482e-03 -8.0095814e-04 -4.4731749e-03 -1.7987831e-04
 -3.3048910e-04 -2.0426593e-03  2.5657937e-03  4.0900619e-03
  3.8846845e-03  1.9182820e-03  1.8498173e-03 -1.2499223e-03
  5.5767712e-04 -2.0357578e-03  2.5303173e-03  2.2174609e-03
  1.6592039e-03 -2.0947593e-04  2.0021300e-03  2.0384156e-04
  1.5554270e-03 -7.0748932e-04  2.9367460e-03 -6.8532303e-04
  4.5655533e-03 -4.6765064e-03  4.4793817e-03  2.4605594e-03
  9.4296836e-04  1.6866368e-03 -4.2260191e-03  2.2315742e-03
 -5.1998352e-03 -4.1215839e-03 -8.3193433e-04  6.9848506e-04
  3.7084855e-03 -1.3348478e-03 -4.3297252e-03 -6.7379733e-04
  3.1046788e-03  6.1837913e-05  6.3671614e-03 -1.1577192e-03
  4.2083422e-03 -3.2927729e-03  1.4353560e-03  2.4441297e-03
 -2.4076134e-03 -2.8910069e-03 -3.5453329e-03  2.7028972e-03
  1.4219453e-03  2.5413272e-03  1.5269777e-04 -1.4990775e-03
  4.9375994e-03  2.6074655e-03  3.1894126e-03  5.1459507e-04
  6.6858293e-03 -1.9263667e-03 -4.1595609e-03 -3.5787211e-03
 -3.6350950e-03 -1.0651569e-03 -5.0245691e-03 -2.9920111e-03
 -7.7938248e-04 -4.8781885e-03  4.5818629e-04  2.3979084e-03
  9.0524758e-04 -4.2594937e-03  1.0510068e-04  2.6268752e-03
  6.9330903e-03  5.4630120e-03 -2.9885147e-03  1.6159584e-03
 -4.5811040e-03 -3.2931778e-03 -1.9828146e-03  5.6352909e-03
 -3.4344627e-03  4.8450506e-03 -4.1788705e-03 -1.8382892e-03]"
नामकरण,"[-1.9339130e-03 -2.3286219e-03 -3.5716540e-03 -1.5472018e-03
  1.3121098e-03  2.9956785e-03  4.7154659e-03 -2.1834481e-03
  3.8778530e-03 -1.4005190e-03 -1.1353879e-03  2.8577547e-03
  4.6937726e-03  3.3532700e-03 -3.7239816e-03 -4.1231355e-03
  4.1240999e-03  1.2566578e-03 -4.4828951e-03  1.6891613e-03
 -4.8087956e-03 -4.4836048e-03  2.1897077e-03 -6.9057272e-04
  7.5812655e-04  3.8486582e-03 -3.7526174e-03 -1.0337182e-03
 -6.4107415e-04 -1.1619927e-03 -3.2708095e-03 -1.9898592e-03
  4.4761919e-03 -8.3162641e-04  1.5815227e-04  4.8088546e-05
 -4.2351233e-03 -4.2893183e-03  3.8884117e-03 -5.3235178e-04
  2.3035996e-03  3.6945930e-03  3.6134892e-03 -1.3655963e-03
  4.0827929e-03 -1.5420399e-03  4.7623240e-03  2.1613243e-03
 -4.7203945e-03  2.6924191e-03 -3.0348233e-03  7.3510833e-04
 -1.4372272e-04 -3.0773021e-03 -4.1604312e-03  4.0523228e-03
 -3.8841780e-04 -1.2500009e-03 -1.5727498e-03 -4.0607522e-03
 -1.7820433e-04  2.9100120e-04 -2.3660134e-03 -3.3349032e-03
 -2.6296424e-03  3.3699579e-03  2.2892617e-03  2.9076126e-03
  2.3906520e-03 -5.0223838e-03 -3.4038690e-03 -1.3482552e-03
  1.5089575e-04  2.0392833e-03  1.3952012e-03 -3.5566571e-03
 -2.6108146e-05 -5.5148482e-04  1.4067531e-03  2.5235261e-03
  4.0238970e-03 -2.9053784e-03  4.3342230e-03  4.3310728e-03
 -2.0976937e-03  4.9112686e-03  3.7297022e-03 -2.3245006e-03
  4.4628261e-03  1.3170675e-03 -3.8193257e-03  1.8747806e-03
 -2.0067322e-03  2.4398444e-03 -1.2417583e-03 -5.8279041e-04
  2.3679670e-03 -4.8609502e-03 -4.1304315e-03 -1.6632606e-04]"
परमवीर,"[-0.00432821  0.00416955  0.00082523 -0.00262847 -0.0018761   0.00252443
  0.00337848 -0.0016724   0.0018526   0.00360426  0.00124701  0.00461072
 -0.00421189 -0.00281165 -0.0034118   0.00057923  0.00164953 -0.00012089
 -0.00479609  0.00083174 -0.0001912  -0.00086154  0.00495615  0.00405676
 -0.00483693  0.00485861  0.00208903  0.00254607 -0.0026244   0.0015734
 -0.00372845 -0.00219433 -0.0009988  -0.00243502  0.00279207 -0.00193227
  0.00249664  0.00078342  0.0025778  -0.00111806  0.00317561  0.00437264
  0.00017492 -0.00460599 -0.00493651  0.00290894  0.00433799  0.00094099
  0.00409638  0.00201794 -0.00248304 -0.0045333  -0.00130894 -0.00141356
 -0.00278048 -0.00153871  0.00074428  0.004676    0.00080838  0.00173618
  0.00322965  0.00124491  0.00450502 -0.00506157  0.00277937 -0.00349352
  0.00292296 -0.00525258  0.00339741  0.00133758  0.00213264 -0.00415834
  0.00391697 -0.00245198  0.0030767  -0.00065932 -0.00356003  0.00258265
 -0.00105667 -0.00311906 -0.00397482  0.00316378  0.00049155  0.00292228
  0.00119328 -0.00361746  0.00441927 -0.00405885  0.00141699 -0.00230249
  0.0012089   0.0047782  -0.00329754  0.00427535 -0.00274632 -0.00179699
 -0.00438387  0.00010221  0.00187711  0.00229247]"
चक्र,"[-4.3533472e-03  4.3432279e-03  2.3971067e-03 -2.9701823e-03
 -2.9375299e-03  3.0361465e-03  2.4017070e-03  1.8392531e-03
 -9.8886073e-04  1.9017670e-03 -4.8175962e-03 -2.0322492e-03
 -1.8557331e-04  4.7602085e-03  4.8393332e-03 -2.1739815e-04
  8.7060715e-04  2.1317720e-03  4.3896297e-03  5.0761262e-03
 -1.5876378e-03  1.1990712e-03  2.3409880e-03  4.3856478e-03
  1.5186266e-03 -3.6982105e-03 -3.9339531e-03 -2.3764931e-03
 -4.0289969e-03  3.5917945e-04 -4.5713801e-03 -3.3668533e-04
 -3.0059970e-03 -4.0105851e-03  6.2253646e-05 -9.1680588e-04
 -2.0639258e-03 -2.6327528e-03  2.7281325e-03  3.2959765e-04
  4.0608128e-03 -9.1081558e-05  3.1017025e-03  4.4598891e-03
 -2.8167556e-03  2.9630607e-03  7.4452657e-04  2.5337895e-03
 -3.1133599e-03 -6.9849071e-04 -3.0390257e-03  2.1608605e-03
  7.4863178e-04 -1.7067685e-04 -2.3236875e-03 -1.4537966e-03
  2.8743185e-03 -4.1438038e-03  9.6811471e-04 -4.1678241e-03
 -2.6828572e-03 -1.0526034e-03 -4.1332026e-03 -3.3996063e-03
 -3.1277901e-03  4.4942074e-03 -3.7008491e-03  1.1639089e-03
 -2.5907138e-04  2.6113996e-03  1.9570708e-03  3.5912569e-03
 -3.7650613e-03 -3.2463393e-03  4.7117644e-03 -4.1995579e-03
 -4.9658734e-03 -8.6715131e-04  5.5147603e-04  3.5416509e-03
 -4.6240343e-03 -4.6742852e-03 -4.1362708e-03  8.5580762e-04
 -2.1146459e-03  2.7591742e-03  3.3706629e-03 -2.6393696e-03
 -1.8149059e-03 -5.9939903e-04  7.1208889e-04 -2.6632374e-04
 -4.3608742e-03 -4.9014622e-03 -2.6825494e-03  5.4511754e-04
  3.7416252e-03 -3.5235228e-03  1.1586305e-03  3.6501276e-04]"
विजेताओं,"[-4.0585357e-03  4.3884604e-03 -5.0367899e-03  3.1775438e-05
 -9.9856872e-04  1.9580622e-03 -1.0597479e-03  3.3457896e-03
 -3.8331098e-04  1.0946776e-03 -2.1852693e-03  1.5778958e-03
  4.0578214e-03  2.0090139e-03 -3.2238688e-03 -1.6509643e-03
 -3.9528732e-04  3.0118627e-03  2.8140079e-03  1.6934156e-03
 -1.4989628e-03 -3.9885831e-03  4.2398935e-03 -5.0098542e-03
 -3.1233774e-03 -5.0474643e-03  4.9498572e-04  3.6433395e-03
 -2.8532222e-03  2.1979811e-03  2.7369617e-03  1.4003634e-03
  4.7139749e-03  1.9746693e-03 -4.5359037e-03 -3.2471346e-03
  2.8939147e-03 -4.5903539e-03 -3.6734680e-03  2.4752577e-03
  8.3105674e-04  4.1756337e-03 -2.9462506e-03 -8.1747386e-04
 -2.8618225e-03 -3.7578256e-03 -2.6404555e-03  2.7003174e-03
 -2.0473478e-03 -3.8294091e-03  2.9287424e-03 -2.9197049e-03
 -5.0458519e-05  4.0999572e-03 -7.5739378e-04  2.8589980e-03
 -1.1618395e-03  2.0304623e-03  6.2435243e-04  4.4852542e-03
  2.6945723e-04  1.6421903e-03  4.7309668e-04  2.7231214e-04
  9.3968975e-04 -4.2897192e-04 -1.3302285e-03  1.0864657e-03
  7.3704537e-04  1.7326708e-03 -2.3882517e-03 -3.4194274e-03
 -4.4556549e-03 -1.0244353e-03 -1.5549466e-03  1.4760350e-03
 -2.3854696e-03 -3.8056439e-03 -2.3726458e-03  4.7493316e-03
  3.5795611e-03  4.8598400e-03  1.0941188e-03  1.8408931e-03
 -3.5041710e-03  4.2541456e-04  3.0713941e-03  2.4242869e-03
 -2.7401403e-03  1.6893093e-03  5.7681045e-04  4.3696337e-03
  2.2682031e-03 -2.6461640e-03 -4.5781806e-03  3.5122721e-05
  4.5188735e-03  4.9998718e-03  1.2939306e-03  4.3893810e-03]"
नाम,"[ 3.2247853e-04 -4.8476201e-03  9.3649630e-04 -4.2112363e-03
  4.8855152e-03 -4.4222651e-03  3.8496547e-03 -4.5733135e-03
 -4.4651418e-03 -1.5954139e-03  4.0827920e-03 -1.7727271e-03
  3.7044247e-03  1.2306302e-03  2.5577685e-03  1.6020656e-03
 -1.1343728e-03  1.8961760e-03  4.1910233e-03 -4.7719837e-03
  4.2004972e-03 -2.2297448e-03  3.8568422e-03 -3.5226278e-03
 -2.5552621e-03 -2.9764392e-03  4.5539374e-03  1.6938235e-03
  4.1160816e-03 -3.7421519e-03 -3.6093569e-03  2.5095181e-03
 -4.2990465e-03  2.0807097e-03  2.7118300e-03 -4.8602237e-03
  3.0305930e-03  1.4392794e-03  3.2500511e-03  5.2528881e-04
 -4.4306340e-03  1.2387783e-03  3.6186847e-04 -9.0585317e-04
  4.0065246e-03 -1.1435216e-03  4.7049280e-03  3.5226634e-03
 -3.3670978e-03  5.9754733e-04  4.5178020e-03 -1.4269229e-03
 -3.4268161e-03  3.6796266e-03  3.8487876e-03 -1.6827667e-03
 -9.5970655e-04 -1.6716906e-03  4.8524723e-03  8.2877616e-04
 -2.5624479e-03  3.6638060e-03  2.6615958e-03  3.6171053e-03
 -1.8408960e-04  1.2265175e-03  4.4131726e-03 -1.6705313e-03
 -8.6250348e-04 -2.6533566e-03  3.1721362e-04 -3.5759625e-03
  4.6026255e-03  3.6589948e-03  4.7829710e-03 -1.3636313e-03
  3.9870706e-03 -2.7929277e-03  2.3873458e-03  2.9697660e-03
  1.7410887e-03 -6.0458650e-04 -2.8223086e-03 -9.0758374e-04
 -3.6614020e-03  3.1641966e-03 -5.6539502e-05 -9.0699125e-04
  2.1987900e-03 -1.6570141e-03  3.3470895e-03  2.2889760e-03
 -4.6025300e-03 -2.7673326e-03  4.6454207e-03 -3.7407761e-03
 -1.2932724e-03 -4.6590026e-03  2.0153287e-03  3.9816462e-03]"
किया,"[ 4.0295715e-03 -8.6194917e-04  3.4710427e-03  3.3820497e-03
 -2.5451809e-04  4.3628933e-03 -9.3553291e-04 -2.0553318e-03
  9.8522636e-04 -4.5072753e-03 -4.1992976e-03  3.5061282e-03
 -3.3169310e-03 -3.9783875e-03  3.6644454e-03 -1.0515793e-03
 -2.8200983e-03 -1.8724314e-03  3.9681331e-03  2.1778555e-03
 -3.7807226e-03  3.4161883e-03 -2.4974155e-03 -4.2755050e-03
  3.4603712e-03  4.0359083e-03  1.5569896e-04 -2.2008084e-03
 -3.0867727e-03  4.6181232e-03  1.2647064e-03  3.3737808e-03
 -3.5589756e-03 -3.6779356e-03 -1.6182701e-03 -2.2357544e-03
 -4.1686459e-03 -3.3593990e-03 -4.0984829e-03  1.1145138e-03
  5.5655994e-04  3.8961568e-03 -4.9743038e-03  2.9508104e-03
  2.2371237e-03 -2.8644702e-03  4.3506622e-03  3.0707133e-03
 -2.8697611e-03 -2.5648819e-03  5.4184673e-04 -4.2144763e-03
  2.1411933e-03 -1.6951227e-03  4.7285226e-03 -4.3781842e-03
  2.9937224e-03 -2.5734364e-03 -4.1136397e-03  1.8783861e-03
 -2.3381212e-03 -2.7923267e-03 -3.1236429e-03 -3.9248411e-03
 -1.7978440e-03 -6.2652252e-04 -1.9962096e-03 -3.6571589e-03
  4.2718784e-03 -4.2719748e-03  3.5490285e-04  3.5574778e-03
  1.2116411e-03 -4.6818266e-03 -1.6455232e-03  2.3315847e-03
  1.6866479e-05 -9.8309701e-04  2.0170256e-03 -1.5275833e-03
 -1.9144239e-03  1.4605171e-03 -3.5242192e-03  2.9957395e-03
 -4.3717101e-03 -7.1144939e-05 -9.7668823e-04  9.9695136e-04
  2.6218032e-03 -1.7299918e-03 -4.1381246e-03  3.3121672e-03
 -1.8454359e-03  2.3540298e-03  1.0208812e-03 -2.4778529e-03
  2.6644180e-03 -1.0738854e-03  9.7901537e-04 -1.2443977e-03]"
जाएगा।,"[ 7.1935449e-04 -4.8077656e-03 -4.3118163e-03  5.3242210e-04
  3.0939411e-03 -3.0923795e-03 -2.6123754e-03 -8.2689576e-04
  3.1939482e-03  2.2989898e-03  1.9787385e-03  1.4870296e-03
  4.6607447e-03 -2.6054098e-03  3.8002634e-03 -8.7971210e-05
  2.7008529e-03  4.7211698e-03  4.1543902e-04 -2.4350437e-03
 -2.6268421e-03 -5.1246199e-04 -1.9662797e-03  2.6798483e-03
 -2.8185816e-03  2.5726419e-03 -2.9658438e-03  1.5914002e-03
  1.6952766e-03  3.5103068e-03 -3.8761690e-03  4.5006480e-03
  4.6229474e-03 -2.5822027e-03 -1.0995992e-03 -1.6555012e-03
  1.6001366e-03  7.6114753e-04  8.2778122e-04  2.8229279e-03
 -1.0755262e-04  1.0498180e-03  1.1931570e-03 -4.6459581e-03
  8.7158993e-04 -4.8673046e-03 -4.0670064e-05  5.0733495e-04
 -2.3214808e-03 -1.2894358e-03 -9.8666246e-04 -1.3533463e-03
  1.0730998e-03  2.7116144e-03  1.7419073e-03  3.6670452e-03
 -3.8011537e-03  3.6398738e-03  2.4921251e-03 -3.0116432e-03
  4.5422958e-03 -2.1155900e-03 -2.4286893e-03 -3.9022553e-03
 -1.8880692e-04  1.3470332e-03  1.0572558e-03  4.1090874e-03
 -1.0056859e-03 -3.6346288e-03 -1.0239487e-03 -2.2475752e-03
  1.3120453e-03 -4.0525836e-03 -3.4632723e-04  2.6326489e-03
  1.0839467e-04 -3.2493586e-04  1.2741635e-04 -2.6674732e-03
 -1.9540665e-04  4.5883544e-03 -4.7117816e-03 -1.4925611e-04
  3.7014514e-04  2.1850658e-03 -6.0060374e-05 -1.6353533e-04
 -6.6064141e-04  4.2028744e-03  2.0789872e-03  3.2223356e-03
  2.6474099e-03  1.5184589e-03  4.4291639e-03 -2.1090654e-04
 -1.6925270e-04 -2.3289626e-03 -1.9152651e-03  4.0244316e-03]"
pib.gov.in/pressreleasepa…,"[ 4.73141577e-03 -1.52512291e-03 -6.32826413e-04  3.96354310e-03
  2.08568759e-03  2.02297932e-03 -3.37101356e-03  9.14908771e-04
 -6.36619865e-04 -3.17600160e-03 -3.13630444e-03  1.01677724e-03
  1.08653365e-03 -4.33768518e-03  1.20172146e-04 -3.43353226e-04
 -2.33033532e-03 -4.90484852e-03 -1.30990183e-03  3.27775185e-03
  1.15173333e-03  6.62160048e-04  3.79756937e-04 -3.11556575e-03
 -5.59968734e-03  2.80903513e-03 -2.38604425e-03  3.12523567e-04
 -3.12698632e-03 -2.79750698e-03 -2.34957295e-03  1.70084462e-03
  1.22798828e-03 -4.19029407e-03 -3.18171992e-03  3.73942289e-03
  2.38614227e-03  1.34324364e-03  3.70285311e-03 -1.93656643e-03
  5.15219709e-03 -4.15106257e-03 -3.97502910e-03 -4.63823322e-03
  1.91716896e-03 -1.87629752e-03 -1.56675675e-03 -1.52288773e-03
  3.38209979e-03  5.22138271e-03 -1.29557250e-03 -3.15601332e-03
 -3.38668376e-03 -2.20622984e-03 -2.01637601e-03  6.47481997e-04
 -3.81384802e-04  1.27055391e-03 -4.49300837e-03  3.48300533e-03
 -1.60685263e-03 -3.07370233e-03 -2.76418257e-04 -6.98808697e-04
 -2.81696138e-03  1.92292398e-04  3.91186588e-03 -3.19267786e-03
  2.21085059e-03 -4.20738850e-03  1.45779701e-03 -4.06712573e-03
 -8.22052185e-04  3.26448027e-03 -1.12047780e-03  3.38957389e-03
 -1.22343863e-06 -1.04649866e-03  2.15324201e-03  3.76988179e-03
 -4.43852413e-03  8.49444419e-04 -1.49666995e-03  8.07959936e-04
  2.86877621e-03 -4.45988681e-03 -6.95364026e-04  2.13330588e-03
  2.45044800e-03  3.58672068e-03 -3.54273967e-03  2.25202530e-03
 -3.42185679e-03 -3.53216147e-03 -4.75521293e-03  2.87630782e-03
  3.92048527e-03  2.26404285e-03 -9.39904246e-04 -1.11567869e-03]"
attended,"[-0.00243068 -0.00244509  0.00489186  0.00111968 -0.0009125   0.00273671
  0.00297666  0.00257331  0.00236715  0.00376261  0.00133585 -0.00280072
 -0.00281081 -0.00155654 -0.00236801 -0.00459635  0.00079163 -0.0049316
  0.00439817 -0.00142772 -0.00304026 -0.00366997 -0.00214414 -0.00045009
 -0.00063717 -0.00295036 -0.00465946  0.00474433 -0.00241812 -0.00254496
 -0.00274262  0.00142159 -0.0016213   0.00074501 -0.00022344  0.00148528
 -0.00147408  0.00024599 -0.00177436 -0.00484562  0.00254503 -0.00225074
  0.00303243  0.00497784  0.00363381  0.0032889   0.00449777 -0.00076299
  0.00445918 -0.00352582 -0.00437569  0.00143056  0.00413353  0.0015432
 -0.00271688 -0.00162911  0.00364338 -0.00205939 -0.0004031   0.00190714
 -0.00391031  0.00226388  0.00271576 -0.00163905 -0.00429892 -0.00395129
  0.00423077 -0.00475835  0.00422692  0.00413285  0.00238381  0.0018963
  0.00416979 -0.00182514 -0.00306447  0.00198137 -0.00135616  0.00026261
  0.0042484  -0.00249593 -0.00287249 -0.00116428 -0.00464907  0.00038373
 -0.00056349 -0.00016998 -0.00372421 -0.00262499 -0.00200363 -0.00128052
  0.00132969 -0.00140882  0.00325368  0.00219436  0.00249451  0.00224915
 -0.00042479 -0.00109662 -0.00437309  0.00383702]"
the,"[ 0.00914689  0.00222298 -0.00670892  0.00171955  0.00566821  0.005845
 -0.0091387  -0.00452372  0.00702969  0.00774561  0.0008192   0.00721309
  0.01265484  0.00290454  0.0044251  -0.00338304  0.00169342 -0.00749321
  0.00721671  0.00133462 -0.00144098  0.00660837 -0.00273597  0.0016334
 -0.00950565 -0.00356701  0.00579308  0.00654493 -0.00248965 -0.0111139
  0.00156665  0.00710967  0.0049838  -0.00214604 -0.00153583  0.00292271
 -0.00019274 -0.00965554  0.00082974  0.00978816  0.01073153 -0.00523226
  0.00443335  0.00570378 -0.00841536  0.00038767 -0.00327199  0.00785372
 -0.00452753  0.0064133  -0.00338853  0.00136989 -0.00410024  0.00737902
  0.00801346  0.00548396  0.01017571 -0.00474434  0.00320116 -0.00374486
  0.00200106 -0.00407208 -0.00724938 -0.01262792  0.00635109  0.00319368
  0.01109543 -0.00787142 -0.00015947 -0.00506414  0.0050805   0.00478414
  0.00472591 -0.00089125  0.00695043 -0.00034812 -0.00623808 -0.0121273
 -0.00470622  0.00507443 -0.00579869 -0.00886422 -0.0128494  -0.00334566
 -0.00159177 -0.00473381  0.01213004  0.00095089  0.00634917  0.00159137
 -0.00316808  0.0067302  -0.00962784 -0.00774454 -0.00160954  0.00227507
  0.00072015  0.00489009 -0.00404332 -0.00257358]"
dgp/igp,"[ 3.1974218e-03 -1.4020042e-03 -9.9862309e-04  4.6670283e-03
  1.1464691e-03 -1.6449258e-04  2.2944463e-04 -1.9808540e-03
  4.8902570e-03  2.9245624e-03 -1.9885157e-03  5.0118612e-03
  2.5408752e-03  2.7748877e-03  3.2367287e-04 -3.5567454e-03
  1.7496926e-03 -5.1125456e-03  1.3027430e-03 -1.1498814e-03
  2.2092550e-03 -3.7298612e-03  8.3721516e-04 -2.7437254e-03
 -2.3984215e-03  3.9101490e-03 -4.3144561e-03  3.7901083e-03
 -3.1127492e-03  3.7783545e-03  4.3707662e-03  3.7824661e-03
 -1.2310131e-03  3.1116334e-04 -4.0066030e-04  3.7475822e-03
  1.2595840e-03  1.0101077e-03  4.6178955e-03  3.8132921e-03
  3.1329959e-03  2.9157882e-03 -3.3252020e-03 -5.8920216e-04
  4.1189082e-03  3.3720257e-03 -3.2775856e-03  2.7607244e-03
  5.6944927e-04  5.7749348e-05 -4.0327790e-03 -2.2013518e-03
  8.3722465e-04  3.3000738e-03 -3.5795418e-03  2.9343301e-03
 -3.2299934e-03 -1.2274015e-03  4.9067807e-04 -2.9309397e-03
  1.1493493e-03  4.7077867e-03 -8.9231710e-04 -2.0596541e-03
 -3.7001695e-03  4.1208207e-03  6.0058106e-04  3.5082942e-03
  1.4159207e-03 -8.2825474e-04 -3.2792764e-07  1.2875276e-03
 -2.9480159e-03 -1.0167130e-03  2.7368069e-03  1.5896176e-04
 -2.8884455e-03 -3.8625374e-03 -8.8920287e-04 -1.2587363e-05
 -4.2649009e-03 -2.5149570e-03  2.9233755e-03 -3.1699669e-03
  5.0330890e-04  3.9775749e-03  2.5386338e-03 -4.4756681e-03
 -2.4915354e-03 -2.1838825e-03 -3.7448560e-03 -4.5778393e-03
  2.1000394e-04 -3.6997821e-03  5.0977140e-04 -6.6974334e-04
  2.9390983e-03 -3.9928653e-03  2.9733477e-03  3.0275920e-04]"
